Player,Nation,Squad,Min,Gls,Ast,CrdY,CrdR
Marko Dmitrovi?,rs SRB,Eibar,3.150,0,0,3,0
Jaume Doménech,es ESP,Valencia,1.324,0,0,1,0
Domingos Duarte,pt POR,Granada,3.087,3,1,7,0
Óscar Duarte,cr CRC,Levante,485,0,0,0,0
Rubén Duarte,es ESP,Alavés,2.663,0,1,11,0
Hugo Duro,es ESP,Getafe,378,1,1,3,0
Aritz Elustondo,es ESP,Real Sociedad,1.510,0,1,4,0
Rodrigo Ely,br BRA,Alavés,2.121,2,0,9,1
Adri Embarba,es ESP,Espanyol,1.371,2,4,4,0
Emerson,br BRA,Betis,2.839,3,6,11,0
Youssef En-Nesyri,ma MAR,Leganés,1.385,4,2,2,0
Youssef En-Nesyri,ma MAR,Sevilla,796,4,0,1,0
Sergi Enrich,es ESP,Eibar,1.865,1,4,6,0
Javier Eraso,es ESP,Leganés,815,0,0,3,0
Gonzalo Escalante,ar ARG,Eibar,1.674,0,1,9,1
Aarón Escandell,es ESP,Granada,270,0,0,0,0
Sergio Escudero,es ESP,Sevilla,773,1,0,2,0
Bernardo Espinosa,co COL,Espanyol,2.259,3,0,5,1
Esquerdo,es ESP,Valencia,15,0,0,0,0
Pervis Estupiñán,ec ECU,Osasuna,2.979,1,5,8,0
Oghenekaro Etebo,ng NGA,Getafe,572,1,0,4,0
Beñat Etxebarria,es ESP,Athletic Club,394,0,0,0,0
Xabier Etxeita,es ESP,Getafe,1.446,0,0,7,0
Edu Expósito,es ESP,Eibar,2.316,4,1,3,0
Fabricio,es ESP,Mallorca,90,0,0,1,0
Fayçal Fajr,ma MAR,Getafe,403,0,0,2,0
Eliseo Falcon,es ESP,Levante,73,0,0,2,1
Ansu Fati,es ESP,Barcelona,1.027,7,1,2,1
Aleix Febas,es ESP,Mallorca,1.690,0,3,4,0
Zouhair Feddal,ma MAR,Betis,1.431,1,2,10,2
Ljubomir Fejsa,rs SRB,Alavés,786,0,0,2,0
Nabil Fekir,fr FRA,Betis,2.638,7,4,10,2
Felipe,br BRA,Atlético Madrid,2.102,1,0,7,0
João Félix,pt POR,Atlético Madrid,1.745,6,1,6,0
Matheus Fernandes,br BRA,Valladolid,166,0,0,0,0
Aitor Fernández,es ESP,Levante,3.240,0,0,2,0
Andrés Fernández,es ESP,Villarreal,384,0,1,1,0
Carlos Fernández,es ESP,Granada,2.201,10,3,8,0
Gabriel Fernández,uy URU,Celta Vigo,561,1,1,5,1
Joaquín Fernández,es ESP,Valladolid,1.659,2,0,9,0
Fernando,br BRA,Sevilla,2.659,2,3,13,0
Facundo Ferreyra,ar ARG,Espanyol,574,1,0,2,0
Junior Firpo,es ESP,Barcelona,1.014,1,1,5,0
Alessandro Florenzi,it ITA,Valencia,752,0,0,1,1
Hernâni Fortes,pt POR,Levante,654,2,0,3,1
Dimitri Foulquier,fr FRA,Granada,1.119,1,0,4,0
Jorge de Frutos,es ESP,Valladolid,59,0,0,0,0
Ramiro Funes Mori,ar ARG,Villarreal,453,0,0,1,0
Enric Gallego,es ESP,Osasuna,880,3,0,5,1
Enric Gallego,es ESP,Getafe,164,0,0,0,0
Kévin Gameiro,fr FRA,Valencia,1.581,6,2,0,0
Fran Gámez,es ESP,Mallorca,1.768,0,1,5,0
Ezequiel Garay,ar ARG,Valencia,1.437,0,0,2,0
Dani García,es ESP,Athletic Club,3.029,0,1,11,0
David García,es ESP,Osasuna,2.793,0,0,7,0
Javi García,es ESP,Betis,377,0,0,2,0
Manu García,es ESP,Alavés,1.967,0,0,11,1
Raúl García,es ESP,Valladolid,1.012,0,1,2,0
Raúl García,es ESP,Athletic Club,2.869,15,1,11,0
Raúl García,es ESP,Getafe,243,0,0,0,0
Rubén García,es ESP,Osasuna,2.188,8,2,6,0
Unai García,es ESP,Osasuna,536,1,0,0,0
Víctor García,es ESP,Valladolid,88,1,0,0,0
Manuel Garrido,es ESP,Leganés,115,0,0,1,0
Mario Gaspar,es ESP,Villarreal,1.962,0,2,2,0
José Antonio Martínez Gil,es ESP,Granada,1.191,0,1,0,0
Ibai Gómez,es ESP,Athletic Club,695,0,0,0,0
Maxi Gómez,uy URU,Valencia,2.143,9,2,5,0
Moi Gómez,es ESP,Villarreal,2.319,5,4,1,0
Sergi Gómez,es ESP,Sevilla,717,0,0,4,0
Maxime Gonalons,fr FRA,Granada,1.506,0,0,7,0
Bruno González,es ESP,Levante,456,0,0,0,0
Bruno González,es ESP,Getafe,180,0,0,1,0
Édgar González,es ESP,Betis,681,0,0,3,0
Andoni Gorosabel,es ESP,Real Sociedad,714,0,0,2,0
Esteban Granero,es ESP,Espanyol,473,1,0,5,0
Antoine Griezmann,fr FRA,Barcelona,2.549,9,4,2,0
Andrés Guardado,mx MEX,Betis,2.046,0,3,9,0
Sergi Guardiola,es ESP,Valladolid,2.655,8,2,6,0
Nemanja Gudelj,rs SRB,Sevilla,1.216,0,0,6,0
Gonçalo Guedes,pt POR,Valencia,1.266,2,2,3,0
Adrián Guerrero,es ESP,Valencia,126,0,0,1,0
Ander Guevara,es ESP,Real Sociedad,939,0,0,4,0
John Guidetti,se SWE,Alavés,96,0,0,0,0
Hugo Guillamón,es ESP,Valencia,495,0,0,3,0
Ismael Gutiérrez,es ESP,Betis,83,0,0,1,0
Munir El Haddadi,es ESP,Sevilla,1.250,5,2,1,0
Eden Hazard,be BEL,Real Madrid,1.077,1,3,0,0
Mario Hermoso,es ESP,Atlético Madrid,1.217,0,0,3,1
Aridane Hernández,gq EQG,Osasuna,2.610,3,0,8,0
Javier Hernández,mx MEX,Sevilla,448,1,0,0,0
Juan Hernández,es ESP,Celta Vigo,87,0,0,0,0
Héctor Herrera,mx MEX,Atlético Madrid,1.123,0,2,1,0
Sergio Herrera,es ESP,Osasuna,1.655,0,0,2,1
Yangel Herrera,ve VEN,Granada,2.368,2,3,14,0
Iago Herrerín,es ESP,Athletic Club,425,0,0,0,0
Pablo Hervías,es ESP,Valladolid,1.017,1,0,1,0
Robert Ibáñez,es ESP,Osasuna,537,1,0,3,0
Vicente Iborra,es ESP,Villarreal,2.648,1,2,10,1
Borja Iglesias,es ESP,Betis,1.922,3,2,3,1
Asier Illarramendi,es ESP,Real Sociedad,216,0,0,0,0
Takashi Inui,jp JPN,Eibar,1.960,2,3,2,0
Alexander Isak,se SWE,Real Sociedad,1.507,9,1,3,0
Isco,es ESP,Real Madrid,1.181,1,2,2,0
Ander Iturraspe,es ESP,Espanyol,242,0,0,1,0
Jacobo,es ESP,Celta Vigo,83,0,0,1,0
Adnan Januzaj,be BEL,Real Sociedad,1.167,3,3,3,0
Jason,es ESP,Getafe,1.175,1,4,5,0
Joaquín,es ESP,Betis,2.060,8,3,4,0
Frenkie de Jong,nl NED,Barcelona,2.115,2,2,3,1
Luuk de Jong,nl NED,Sevilla,2.059,6,1,2,0
Joan Jordán,es ESP,Sevilla,2.254,2,2,7,0
Willian José,br BRA,Real Sociedad,2.011,11,1,4,0
Joselu,es ESP,Alavés,2.782,11,2,6,0
Luka Jovi?,rs SRB,Real Madrid,430,2,1,2,0
Juanmi,es ESP,Betis,264,1,0,2,1
David Juncà,es ESP,Celta Vigo,258,0,0,1,0
Lago Junior,ci CIV,Mallorca,2.188,4,0,3,0
Vinicius Júnior,br BRA,Real Madrid,1.364,3,1,4,0
Lee Kangin,kr KOR,Valencia,454,2,0,1,2
Wilfrid Kaptoum,cm CMR,Betis,194,0,0,1,0
Kenedy,br BRA,Getafe,586,1,3,2,0
Kike,es ESP,Eibar,1.767,5,1,2,0
Giorgi Kochorashvili,ge GEO,Levante,2,0,0,0,0
Kenan Kodro,ba BIH,Athletic Club,364,1,0,0,0
Koke,es ESP,Atlético Madrid,2.698,4,5,5,0
Geoffrey Kondogbia,cf CTA,Valencia,1.807,1,1,5,0
Jules Koundé,fr FRA,Sevilla,2.309,1,1,6,0
Leonardo Koutris,gr GRE,Mallorca,93,0,0,0,0
?smail Köyba??,tr TUR,Granada,231,0,0,1,0
Toni Kroos,de GER,Real Madrid,2.652,4,5,2,0
Takefusa Kubo,jp JPN,Mallorca,2.312,4,4,4,0
Víctor Laguardia,es ESP,Alavés,2.654,1,2,9,1
Diego Lainez,mx MEX,Betis,348,0,0,0,0
Larra,es ESP,Athletic Club,250,0,0,0,0
Toni Lato,es ESP,Osasuna,470,1,0,3,0
Robin Le Normand,fr FRA,Real Sociedad,2.394,1,0,6,0
Wu Lei,cn CHN,Espanyol,1.719,4,0,3,0
Iñigo Lekue,es ESP,Athletic Club,623,0,1,0,0
Thomas Lemar,fr FRA,Atlético Madrid,925,0,0,2,0
Clément Lenglet,fr FRA,Barcelona,2.424,2,1,11,2
Pedro León,es ESP,Eibar,1.896,1,2,4,0
Sergio León,es ESP,Levante,672,1,0,2,0
Lillo,es ESP,Osasuna,195,0,0,2,0
Diego Llorente,es ESP,Real Sociedad,2.327,1,1,7,1
Marcos Llorente,es ESP,Atlético Madrid,1.368,3,3,4,0
Stanislav Lobotka,sk SVK,Celta Vigo,1.383,0,0,1,0
Renan Lodi,br BRA,Atlético Madrid,2.396,1,2,6,1
Rony Lopes,pt POR,Sevilla,134,0,0,0,0
Adrián López,es ESP,Osasuna,1.443,2,0,0,0
David López,es ESP,Espanyol,2.455,4,2,5,1
Diego López,es ESP,Espanyol,3.232,0,0,5,1
Javi López,es ESP,Alavés,90,0,0,0,0
Javi López,es ESP,Espanyol,1.384,0,0,5,1
Lluis López,es ESP,Espanyol,300,0,0,1,0
Roberto López,es ESP,Real Sociedad,24,0,1,0,0
Unai López,es ESP,Athletic Club,1.787,1,4,6,0
Iker Losada,es ESP,Celta Vigo,13,1,0,0,0
Pol Lozano,es ESP,Espanyol,173,0,0,0,1
José Luis Gayà,es ESP,Valencia,1.988,0,1,5,0
José Luis Morales,es ESP,Levante,2.519,4,2,3,0
José Luis Rodríguez,pa PAN,Alavés,22,0,0,0,0
Darwin Machís,ve VEN,Granada,2.129,7,5,5,0
Lisandro Magallán,ar ARG,Alavés,1.197,1,1,4,0
Abdallahi Mahmoud,mr MTN,Alavés,152,0,0,1,0
Nemanja Maksimovi?,rs SRB,Getafe,2.895,2,0,5,0
Hugo Mallo,es ESP,Celta Vigo,1.965,0,1,7,0
Aïssa Mandi,dz ALG,Betis,2.576,0,0,9,0
Eliaquim Mangala,fr FRA,Valencia,673,0,0,3,1
Marcelo,br BRA,Real Madrid,1.296,1,2,2,0
Óscar de Marcos,es ESP,Athletic Club,541,0,1,1,0
Miguel Marí,es ESP,Eibar,6,0,0,0,0
José María Giménez,uy URU,Atlético Madrid,1.755,0,0,2,0
Mariano,do DOM,Real Madrid,45,1,0,1,0
Adrián Marín,es ESP,Alavés,852,0,0,1,0
Guillermo Maripán,cl CHI,Alavés,90,0,0,0,0
Roger Martí,es ESP,Levante,2.267,11,1,6,1
Daniel Martín,es ESP,Betis,531,0,0,0,0
Álex Martínez,es ESP,Granada,15,0,0,1,0
Iñigo Martínez,es ESP,Athletic Club,2.970,1,1,10,0
Javi Martínez,es ESP,Osasuna,10,0,0,0,0
Pablo Martínez,es ESP,Levante,33,0,0,0,0
Jordi Masip,es ESP,Valladolid,3.150,0,0,2,0
Jaime Mata,es ESP,Getafe,2.747,11,3,14,0
Borja Mayoral,es ESP,Levante,2.140,8,2,2,0
Óscar Melendo,es ESP,Espanyol,1.115,0,0,0,0
Gonzalo Melero,es ESP,Levante,1.236,2,1,4,0
Arthur Melo,br BRA,Barcelona,1.182,3,3,1,0
Brais Méndez,es ESP,Celta Vigo,1.477,0,2,4,0
Édgar Méndez,es ESP,Alavés,864,1,0,3,0
Ferland Mendy,fr FRA,Real Madrid,1.809,1,3,8,1
Fran Mérida,es ESP,Osasuna,1.161,0,1,9,1
Mikel Merino,es ESP,Real Sociedad,3.139,5,1,9,0
Sabin Merino,es ESP,Leganés,78,0,0,0,0
Roque Mesa,es ESP,Leganés,2.012,1,3,11,0
Lionel Messi,ar ARG,Barcelona,2.880,25,21,4,0
Míchel,es ESP,Valladolid,2.178,1,2,6,0
Miguel,es ESP,Valladolid,232,0,0,1,0
Éder Militão,br BRA,Real Madrid,1.022,0,0,3,0
Santi Mina,es ESP,Celta Vigo,1.944,6,3,4,0
Jorge Miramón,es ESP,Levante,2.432,0,3,4,1
Luka Modri?,hr CRO,Real Madrid,1.996,3,7,7,1
Jorge Molina,es ESP,Getafe,1.886,5,3,6,1
Jon Moncayola,es ESP,Osasuna,1.496,1,0,4,0
Nacho Monreal,es ESP,Real Sociedad,2.390,2,0,3,0
Joan Monterde Raygal,es ESP,Levante,9,0,0,0,0
Ángel Montoro,es ESP,Granada,973,2,5,6,0
Álvaro Morata,es ESP,Atlético Madrid,2.098,12,2,6,1
Alberto Moreno,es ESP,Villarreal,1.471,0,0,6,0
Álex Moreno,es ESP,Betis,2.265,0,4,5,0
Gerard Moreno,es ESP,Villarreal,2.744,18,5,5,0
Manu Morlanes,es ESP,Villarreal,253,0,1,0,0
Loren Morón,es ESP,Betis,2.031,10,3,2,1
Toni Moya,es ESP,Atlético Madrid,4,0,0,0,0
Javi Moyano,es ESP,Valladolid,2.227,0,0,4,0
Iker Muniain,es ESP,Athletic Club,2.382,5,2,4,1
Aihen Muñoz,es ESP,Real Sociedad,981,0,0,1,0
Javier Muñoz,es ESP,Alavés,52,0,0,0,0
Jeison Murillo,co COL,Celta Vigo,1.529,1,0,5,0
Nacho,es ESP,Real Madrid,439,1,0,3,0
Nacho,es ESP,Valladolid,1.893,0,2,2,0
Naldo,br BRA,Espanyol,1.332,0,1,8,1
Marc Navarro,es ESP,Leganés,219,0,0,1,0
Ximo Navarro,es ESP,Alavés,1.903,0,0,8,0
Jesús Navas,es ESP,Sevilla,3.369,0,7,4,0
Raúl Navas,es ESP,Osasuna,711,0,0,2,0
Neto,br BRA,Barcelona,180,0,0,0,0
Carlos Neva,es ESP,Granada,2.205,0,1,2,0
Saúl Ñíguez,es ESP,Atlético Madrid,3.072,6,0,10,0
Fernando Niño,es ESP,Villarreal,83,1,0,1,0
Nolito,es ESP,Celta Vigo,324,2,1,3,1
Nolito,es ESP,Sevilla,898,3,0,0,0
Unai Núñez,es ESP,Athletic Club,1.572,0,0,7,0
Allan Nyom,cm CMR,Getafe,2.422,2,0,13,2
Jan Oblak,si SVN,Atlético Madrid,3.395,0,0,0,0
Rafael Obrador,es ESP,Mallorca,4,0,0,0,0
Lucas Ocampos,ar ARG,Sevilla,2.745,14,3,10,1
Álvaro Odriozola,es ESP,Real Madrid,343,0,1,3,1
Lucas Olaza,uy URU,Celta Vigo,3.144,1,3,5,0
Oier Olazábal,es ESP,Espanyol,180,0,0,0,0
Kiko Olivas,es ESP,Valladolid,2.943,2,0,2,0
Paulo Oliveira,pt POR,Eibar,2.090,1,0,7,1
Mathías Olivera,uy URU,Getafe,1.870,0,1,7,1
Kenneth Omeruo,ng NGA,Leganés,1.874,1,0,5,0
Javier Ontiveros,es ESP,Villarreal,889,2,1,2,0
Fabián Orellana,cl CHI,Eibar,2.390,8,7,9,1
Aimar Oroz,es ESP,Osasuna,11,0,0,0,0
Mikel Oyarzabal,es ESP,Real Sociedad,3.051,10,11,4,0
Fernando Pacheco,es ESP,Alavés,2.358,0,0,0,1
Jon Pacheco,es ESP,Real Sociedad,77,0,0,0,0
Daniel Parejo,es ESP,Valencia,3.024,8,3,6,1
Miquel Parera,es ESP,Mallorca,90,0,0,0,0
Thomas Partey,gh GHA,Atlético Madrid,2.549,3,0,13,0
Paulino,es ESP,Alavés,75,0,0,0,0
Gabriel Paulista,br BRA,Valencia,2.801,1,1,5,0
Alfonso Pedraza,es ESP,Betis,1.349,1,0,3,0
Marc Pedraza,es ESP,Mallorca,130,0,0,0,0
Pedrosa,es ESP,Espanyol,1.087,1,0,3,0
Rubén Peña,es ESP,Villarreal,1.909,2,2,5,0
Luis Perea,es ESP,Osasuna,21,0,0,0,0
Victor Perea,es ESP,Espanyol,1.270,0,0,2,0
Gonzalo Pereira Cejudo,es ESP,Levante,13,0,0,0,0
Carles Pérez,es ESP,Barcelona,476,1,2,0,0
Iñigo Pérez,es ESP,Osasuna,1.082,2,1,4,0
Juan Pérez,es ESP,Osasuna,180,0,0,0,0
Kike Pérez,es ESP,Valladolid,218,0,0,1,0
Lucas Pérez,es ESP,Alavés,2.496,11,5,4,0
Rubén Pérez,es ESP,Leganés,2.194,1,1,9,0
Samuel Pérez,es ESP,Valladolid,26,0,0,0,0
Pablo Piatti,ar ARG,Espanyol,56,0,0,0,0
Cristiano Piccini,it ITA,Valencia,75,0,0,0,0
Tomás Pina Isla,es ESP,Alavés,1.344,1,0,6,1
Pipa,es ESP,Espanyol,473,0,0,3,0
Gerard Piqué,es ESP,Barcelona,3.092,1,0,15,0
Óscar Plano,es ESP,Valladolid,2.505,4,2,6,0
Pere Pons,es ESP,Alavés,1.088,1,1,3,0
Pedro Porro,es ESP,Valladolid,739,0,0,1,0
Francisco Portillo,es ESP,Getafe,376,0,2,3,0
Portu,es ESP,Real Sociedad,2.393,7,7,5,0
Sergio Postigo,es ESP,Levante,2.374,1,1,6,0
Florent Poulolo,fr FRA,Getafe,1,0,0,0,0
Darío Poveda,es ESP,Atlético Madrid,8,0,0,0,0
Alejandro Pozo Pozo,es ESP,Mallorca,1.498,1,2,0,0
Alejandro Pozo Pozo,es ESP,Sevilla,37,0,0,0,0
Abdón Prats,es ESP,Mallorca,279,0,0,1,0
Antonio Puertas,es ESP,Granada,2.563,7,3,7,0
Riqui Puig,es ESP,Barcelona,510,0,2,1,0
Quini,es ESP,Granada,718,0,0,2,0
Xavi Quintillà,es ESP,Villarreal,1.573,0,2,6,0
Quique,es ESP,Eibar,490,0,1,0,0
Nemanja Radoja,rs SRB,Levante,1.993,1,0,3,0
Rafinha,br BRA,Barcelona,186,0,0,0,0
Rafinha,br BRA,Celta Vigo,2.111,4,1,5,0
Baba Rahman,gh GHA,Mallorca,108,0,0,1,0
Antonio Raillo,es ESP,Mallorca,2.775,1,0,9,1
Ivan Rakiti?,hr CRO,Barcelona,1.589,1,3,5,0
Sandro Ramírez,es ESP,Valladolid,1.306,3,1,2,0
Iván Ramis,es ESP,Eibar,457,1,0,1,0
Adrián Ramos,co COL,Granada,226,0,0,0,0
Sergio Ramos,es ESP,Real Madrid,3.013,11,0,10,0
Raúl,es ESP,Betis,19,0,0,0,0
Recio,es ESP,Leganés,1.570,0,0,11,0
Sergio Reguilón,es ESP,Sevilla,2.509,2,4,8,0
Manolo Reina,es ESP,Mallorca,3.240,0,0,4,0
Álex Remiro,es ESP,Real Sociedad,2.250,0,0,0,0
Nico Ribaudo,es ESP,Espanyol,182,0,0,1,0
Luis Rioja,es ESP,Alavés,1.634,0,0,3,0
Rodrigo Riquelme,es ESP,Atlético Madrid,13,0,0,0,0
Cristian Rivera,es ESP,Leganés,311,0,0,3,0
Rober,es ESP,Levante,191,0,0,0,0
Roberto,es ESP,Alavés,790,0,0,1,0
Sergi Roberto,es ESP,Barcelona,2.339,1,2,8,0
Joel Robles,es ESP,Betis,2.887,0,0,3,1
Marc Roca,es ESP,Espanyol,3.008,2,1,8,0
